time,open,high,low,close,tick_volume,spread,real_volume
2026.06.09 00:00:00,4317.71,4318.36,4315.37,4316.78,191,43,0
2026.06.09 00:01:00,4316.7,4317.64,4315.46,4317.37,201,43,0
2026.06.09 00:02:00,4317.36,4318.57,4317.16,4318.05,185,43,0
2026.06.09 00:03:00,4318.0,4319.58,4316.73,4317.26,190,43,0
2026.06.09 00:04:00,4317.28,4318.04,4316.1,4317.4,198,43,0
2026.06.09 00:05:00,4317.26,4319.45,4316.79,4319.43,203,43,0
2026.06.09 00:06:00,4319.31,4320.44,4318.66,4319.91,194,43,0
2026.06.09 00:07:00,4320.01,4321.63,4319.77,4320.48,172,43,0
2026.06.09 00:08:00,4320.5,4320.85,4318.63,4318.72,182,43,0
2026.06.09 00:09:00,4318.82,4319.12,4318.27,4318.45,185,43,0
2026.06.09 00:10:00,4318.4,4321.12,4318.4,4320.93,175,43,0
2026.06.09 00:11:00,4320.94,4321.02,4319.91,4320.76,172,43,0
2026.06.09 00:12:00,4320.78,4323.55,4320.61,4322.8,191,43,0
2026.06.09 00:13:00,4322.84,4323.65,4321.81,4323.48,203,43,0
2026.06.09 00:14:00,4323.52,4323.52,4321.59,4322.53,176,43,0
2026.06.09 00:15:00,4322.44,4323.12,4320.2,4320.62,222,43,0
2026.06.09 00:16:00,4320.56,4323.06,4320.35,4323.06,167,43,0
2026.06.09 00:17:00,4323.13,4323.36,4320.61,4320.99,182,43,0
2026.06.09 00:18:00,4321.02,4322.57,4320.95,4321.53,175,43,0
2026.06.09 00:19:00,4321.5,4321.69,4320.04,4320.14,182,43,0
2026.06.09 00:20:00,4320.06,4320.44,4318.96,4319.73,192,43,0
2026.06.09 00:21:00,4319.79,4319.9,4317.34,4318.09,185,43,0
2026.06.09 00:22:00,4318.09,4319.68,4317.29,4318.45,171,43,0
2026.06.09 00:23:00,4318.44,4318.44,4317.42,4318.07,152,43,0
2026.06.09 00:24:00,4318.18,4319.11,4317.65,4318.78,160,43,0
2026.06.09 00:25:00,4318.75,4319.45,4317.85,4317.85,164,43,0
2026.06.09 00:26:00,4317.86,4318.36,4317.33,4317.76,161,43,0
2026.06.09 00:27:00,4317.83,4318.61,4317.15,4317.85,170,43,0
2026.06.09 00:28:00,4317.87,4318.51,4316.69,4317.22,154,43,0
2026.06.09 00:29:00,4317.25,4318.03,4316.69,4316.7,158,43,0
2026.06.09 00:30:00,4316.7,4317.32,4315.82,4316.46,163,43,0
2026.06.09 00:31:00,4316.41,4316.61,4315.21,4316.34,143,43,0
2026.06.09 00:32:00,4316.38,4317.88,4316.38,4317.11,136,43,0
2026.06.09 00:33:00,4317.04,4317.1,4315.07,4315.68,154,43,0
2026.06.09 00:34:00,4315.67,4319.45,4315.38,4318.93,151,43,0
2026.06.09 00:35:00,4319.03,4320.38,4318.33,4319.72,161,43,0
2026.06.09 00:36:00,4319.73,4320.55,4319.62,4320.15,148,43,0
2026.06.09 00:37:00,4320.17,4322.86,4319.54,4322.05,167,43,0
2026.06.09 00:38:00,4321.76,4322.31,4318.61,4318.84,174,43,0
2026.06.09 00:39:00,4318.85,4319.66,4318.11,4318.98,136,43,0
2026.06.09 00:40:00,4318.97,4321.07,4318.62,4318.62,176,43,0
2026.06.09 00:41:00,4318.68,4319.63,4317.7,4317.7,169,43,0
2026.06.09 00:42:00,4317.71,4318.42,4317.66,4318.11,160,43,0
2026.06.09 00:43:00,4318.14,4318.37,4317.59,4317.74,172,43,0
2026.06.09 00:44:00,4317.68,4318.56,4317.68,4318.54,137,43,0
2026.06.09 00:45:00,4318.39,4318.94,4317.09,4317.62,142,43,0
2026.06.09 00:46:00,4317.81,4317.89,4317.27,4317.83,129,43,0
2026.06.09 00:47:00,4317.81,4317.81,4316.75,4317.11,125,43,0
2026.06.09 00:48:00,4317.15,4317.2,4315.04,4315.15,135,43,0
2026.06.09 00:49:00,4315.15,4317.22,4314.97,4316.93,131,43,0
2026.06.09 00:50:00,4316.96,4318.32,4316.77,4317.92,146,43,0
2026.06.09 00:51:00,4318.01,4319.84,4317.37,4317.83,158,43,0
2026.06.09 00:52:00,4317.85,4318.32,4317.04,4318.03,158,43,0
2026.06.09 00:53:00,4318.05,4318.12,4315.93,4316.28,152,43,0
2026.06.09 00:54:00,4316.25,4316.47,4315.76,4315.8,128,43,0
2026.06.09 00:55:00,4315.7,4316.7,4315.33,4316.25,152,43,0
2026.06.09 00:56:00,4316.23,4316.58,4315.38,4316.44,133,43,0
2026.06.09 00:57:00,4316.4,4319.24,4316.21,4319.24,143,43,0
2026.06.09 00:58:00,4319.26,4321.06,4318.45,4320.37,181,43,0
2026.06.09 00:59:00,4320.38,4320.72,4319.7,4319.78,164,43,0
2026.06.09 01:00:00,4319.74,4323.15,4318.56,4322.11,216,43,0
2026.06.09 01:01:00,4322.26,4323.46,4319.8,4319.94,204,43,0
2026.06.09 01:02:00,4319.73,4322.46,4318.53,4322.24,212,43,0
2026.06.09 01:03:00,4322.34,4323.96,4320.78,4322.16,200,43,0
2026.06.09 01:04:00,4322.06,4322.69,4320.71,4321.29,195,43,0
2026.06.09 01:05:00,4321.04,4324.45,4320.61,4323.9,202,43,0
2026.06.09 01:06:00,4324.04,4327.43,4323.6,4326.86,205,43,0
2026.06.09 01:07:00,4326.88,4327.78,4324.3,4325.12,180,43,0
2026.06.09 01:08:00,4325.09,4325.45,4322.85,4325.1,174,43,0
2026.06.09 01:09:00,4325.13,4325.89,4324.89,4325.09,173,43,0
2026.06.09 01:10:00,4325.14,4326.25,4321.95,4321.99,177,43,0
2026.06.09 01:11:00,4321.99,4323.74,4321.3,4323.74,156,43,0
2026.06.09 01:12:00,4323.77,4325.84,4322.51,4325.58,165,43,0
2026.06.09 01:13:00,4325.61,4326.71,4324.56,4326.54,179,43,0
2026.06.09 01:14:00,4326.58,4326.58,4323.21,4323.87,187,43,0
2026.06.09 01:15:00,4323.88,4326.7,4323.27,4325.85,194,43,0
2026.06.09 01:16:00,4325.96,4329.52,4325.88,4328.61,189,43,0
2026.06.09 01:17:00,4328.75,4329.76,4327.5,4327.94,188,43,0
2026.06.09 01:18:00,4327.84,4327.84,4323.38,4323.51,184,43,0
2026.06.09 01:19:00,4323.52,4325.33,4322.29,4323.89,188,43,0
2026.06.09 01:20:00,4323.93,4324.78,4322.69,4324.27,184,43,0
2026.06.09 01:21:00,4324.49,4326.42,4324.42,4326.42,195,43,0
2026.06.09 01:22:00,4326.48,4332.16,4325.84,4331.5,197,43,0
2026.06.09 01:23:00,4331.66,4331.66,4327.67,4328.86,183,43,0
2026.06.09 01:24:00,4328.71,4328.85,4326.84,4327.51,166,43,0
2026.06.09 01:25:00,4327.5,4329.73,4327.42,4328.61,190,43,0
2026.06.09 01:26:00,4328.63,4329.85,4327.83,4329.73,186,43,0
2026.06.09 01:27:00,4329.74,4333.22,4329.3,4332.72,195,43,0
2026.06.09 01:28:00,4332.74,4335.31,4331.72,4334.8,179,43,0
2026.06.09 01:29:00,4334.62,4338.07,4334.39,4335.21,184,43,0
2026.06.09 01:30:00,4335.32,4335.97,4332.93,4333.43,180,43,0
2026.06.09 01:31:00,4333.34,4336.21,4333.34,4335.75,188,43,0
2026.06.09 01:32:00,4335.67,4337.64,4335.47,4337.33,178,43,0
2026.06.09 01:33:00,4337.26,4337.71,4336.71,4336.93,179,43,0
2026.06.09 01:34:00,4336.99,4337.94,4335.84,4336.96,182,43,0
